candidate_group,added_position_count,model,position,outer_fold_selection_count,outer_fold_selection_rate,method_version
width_height,3,ols,W5,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W6,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W7,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W9,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W10,7,0.11475409836065574,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,W11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H1,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H2,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H3,1,0.01639344262295082,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H4,5,0.08196721311475409,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H5,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H6,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H7,2,0.03278688524590164,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H8,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H9,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H10,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ols,H11,0,0.0,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ridge,W1,18,0.29508196721311475,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ridge,W2,12,0.19672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ridge,W3,17,0.2786885245901639,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ridge,W4,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
width_height,3,ridge,W5,59,0.9672131147540983,elliptical_volume_nested_forward_select_1to3_pca4548_local_profiles_v1.0
